Date,Open,High,Low,Close,Volume
2025-12-15,88,154.4,89,974.1,85,228.8,61.65B
2025-12-14,90,248.3,90,472.3,87,657.9,32.26B
2025-12-13,90,272.0,90,638.1,89,781.3,23.47B
2025-12-12,92,510.4,92,744.6,89,498.1,49.84B
2025-12-11,92,005.0,93,539.4,89,324.1,65.64B
2025-12-10,92,685.7,94,458.1,91,608.0,61.84B
2025-12-09,90,636.1,94,591.4,89,592.2,68.38B
2025-12-08,90,413.6,92,269.1,89,640.7,51.82B
2025-12-07,89,209.8,91,736.8,87,747.6,38.67B
2025-12-06,89,333.6,90,176.5,88,929.5,30.14B
2025-12-05,92,082.8,92,676.4,88,218.4,61.14B
2025-12-04,93,437.2,94,043.9,90,933.2,60.28B
2025-12-03,91,286.8,94,077.0,91,020.8,79.02B
2025-12-02,86,315.2,92,285.4,86,189.8,87.36B
2025-12-01,90,372.2,90,372.2,83,858.1,105.96B
